id,client_service_id,period,processed,created_at,updated_at
c60267cc-9c77-45c3-b167-08df4df1e43b,e6d8cdaa-be38-44e6-9139-38d7a6b2dac7,2026-02,14,2026-07-06 16:06:42.915986+00:00,2026-07-06 16:06:42.915986+00:00
f1df1ef6-5581-46fb-b808-9683223e4b20,e6d8cdaa-be38-44e6-9139-38d7a6b2dac7,2026-04,5,2026-07-06 16:07:58.974200+00:00,2026-07-06 16:07:58.974200+00:00
004dd381-62b0-4799-a4cc-c2cb523a626b,47707237-cd10-4f6c-9c29-f863e7d2cc83,2026-01,0,2026-07-06 16:17:30.926132+00:00,2026-07-06 16:17:46.767000+00:00
6bf98679-0b32-4aec-9501-1a18aefcf884,47707237-cd10-4f6c-9c29-f863e7d2cc83,2026-07,0,2026-07-06 16:24:03.566452+00:00,2026-07-06 16:24:03.566452+00:00
915f9f49-bad5-4c87-946a-07c37deb3560,e6d8cdaa-be38-44e6-9139-38d7a6b2dac7,2026-03,3,2026-07-08 01:09:22.478211+00:00,2026-07-08 01:09:22.478211+00:00
