id,client_id,service_id,reg_label,assigned_to,assigned_to_name,active,frequency,processor,due_month,expected_annual,filing_state,return_type,detail,notes
8b03efe2-fa23-4529-a9c8-235c31e9f330,42b25bfd-4945-43e8-b86d-a4ac3576da31,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
daef6eef-8c3f-43f6-8646-5acb5f47ffed,d3754683-c487-4261-8ef0-2a574fb181a6,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
1d567280-c69c-4481-a536-73a6b389626b,c55461ba-7113-46cf-8eb4-a1297f19dcca,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
3be1142d-8a46-4906-87d1-d029294356bc,3e34c4eb-019a-4e44-9c3f-5faaabe2a9b4,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
2cc4490f-7830-4d8d-b39b-bed803f67450,4efb49f0-581a-4efa-89d6-d86c6f537424,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
c05f7edb-1fba-425f-82e2-0c1efbc7affc,e4f3eda4-850c-4a86-9aac-81d9526b03e4,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
ed7e1bf2-56aa-47c2-bd43-e6d7c89ed43d,ada917cc-f761-47b9-9313-2fb3273de6ae,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,e96697dc-439a-4ee7-b793-c539c25bfe47,Amruta,true,yearly,,,,,,,tax return
a09b7114-e0a5-49e7-b336-30202bb7a4ed,ada917cc-f761-47b9-9313-2fb3273de6ae,8356fec1-1b5b-45df-ab57-276899df5e6e,,e96697dc-439a-4ee7-b793-c539c25bfe47,Amruta,true,monthly,,,,,,,
52c039f8-fb37-47cf-ac6d-e8ebd29fdcf3,c27dbfb2-1b08-4c4b-bc75-0b96b5e529e3,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
fd05d484-e58d-426d-bdf6-fefae8d76fc4,1096b3dd-d284-4cf2-acad-e65077d5a436,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,4ab9b6f4-1b9e-4823-bbb0-898a421fadc3,Sanket,true,yearly,,,,,,,tax return
078e8985-5486-4fc8-94fd-e19b46d23f75,1096b3dd-d284-4cf2-acad-e65077d5a436,8356fec1-1b5b-45df-ab57-276899df5e6e,,4ab9b6f4-1b9e-4823-bbb0-898a421fadc3,Sanket,true,monthly,,,,,,,
dabae995-b008-452a-892f-1a3295190635,dadb5577-f252-4756-be28-5f3ec72ddd14,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
62cc1907-abb7-4470-a1b3-e3b323026126,5ea4dae3-06d1-4670-a06b-89e6ea90284e,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
f791b686-3d0e-4a3b-a9b3-f3a380f9ef3e,0a82012c-f07b-4dd9-9a11-c2b384385335,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,e96697dc-439a-4ee7-b793-c539c25bfe47,Amruta,true,yearly,,,,,,,tax return
97f73a5f-6656-4f31-b2c7-067a91ae1563,0a82012c-f07b-4dd9-9a11-c2b384385335,8356fec1-1b5b-45df-ab57-276899df5e6e,,e96697dc-439a-4ee7-b793-c539c25bfe47,Amruta,true,monthly,,,,,,,
9cf0de3f-897d-4a94-ac1d-e4c037433db4,37cb6476-8d5b-46fe-8388-d613d5433de0,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,e96697dc-439a-4ee7-b793-c539c25bfe47,Amruta,true,yearly,,,,,,,tax return
480f3809-07c5-4ecd-a77f-1b579eb1a5fd,37cb6476-8d5b-46fe-8388-d613d5433de0,8356fec1-1b5b-45df-ab57-276899df5e6e,,e96697dc-439a-4ee7-b793-c539c25bfe47,Amruta,true,monthly,,,,,,,
a83b3e49-1987-4939-bbde-6aba1d5e603a,1819fd5f-293e-4f76-82f1-e147c51c2591,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
284532a2-e35c-4850-b12b-7dfa267323df,f6f35b55-e9b2-4832-8427-a2165edc37e4,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
3001c725-5dec-4ceb-9791-0b5c4b7474be,24bdf2e4-f3d1-45de-b6f0-3aaca6b6926b,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
ad0ba4fc-9f4e-40bb-82d1-c5d8a96ded24,dfe1bf6e-884f-49ad-ac1b-afd356d740ef,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,60e3c2e6-a2e5-4340-8d2c-b58ce02ab04d,Sam,true,yearly,,,,,,,tax return
aa22f659-fe31-4a14-97eb-3efb0b40843f,dfe1bf6e-884f-49ad-ac1b-afd356d740ef,8356fec1-1b5b-45df-ab57-276899df5e6e,,60e3c2e6-a2e5-4340-8d2c-b58ce02ab04d,Sam,true,monthly,,,,,,,
1114a1c8-a6a0-45c5-85bf-1cb00d367d5f,093cf343-5c60-47c9-9d24-f37b7d0708bc,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
d59fd646-e23a-44b5-a10a-85b4ad3fa92d,84855961-3402-4a0f-94d3-7129a794a22a,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
f4ac6ea7-d0fa-441f-a7dd-ba985808349b,891d9d2f-0912-426f-b241-f3bb42d1d8fa,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
3b3f2c54-8c40-442d-879e-0f5d267a81e2,3ad38692-51a8-447e-81a6-0acf8cd7eca0,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,60e3c2e6-a2e5-4340-8d2c-b58ce02ab04d,Sam,true,yearly,,,,,,,tax return
b8fa455e-990a-4200-8f1d-e14b4044f90b,3ad38692-51a8-447e-81a6-0acf8cd7eca0,8356fec1-1b5b-45df-ab57-276899df5e6e,,60e3c2e6-a2e5-4340-8d2c-b58ce02ab04d,Sam,true,yearly,,,,,,,
bb9fbfb1-559f-4f98-ad7e-a5d61013ee90,c1bd7d40-0d11-4b4c-9242-8b2b32e5df0b,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,60e3c2e6-a2e5-4340-8d2c-b58ce02ab04d,Sam,true,yearly,,,,,,,tax return
7ebe8f97-998e-43d3-b1ad-9508c1109dab,c1bd7d40-0d11-4b4c-9242-8b2b32e5df0b,8356fec1-1b5b-45df-ab57-276899df5e6e,,60e3c2e6-a2e5-4340-8d2c-b58ce02ab04d,Sam,true,yearly,,,,,,,
9f0e1e4f-47a4-4c01-ade4-f09c795f063b,eee2a3cd-ce09-4b2a-baf8-2716dd989914,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
a973334c-1194-44d4-b145-5bbf9a7091a6,7bb09bac-325a-416e-a5b3-725476ab76cd,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
7c766912-98fe-448e-8847-abdb643083c3,363efd9f-d9b4-4d29-baa4-d48010794710,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
8bef5e4d-1328-47eb-9937-3c0c73eae275,7789a338-3fcb-4707-9eb5-adf9231cd89e,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
e712e84d-442c-44f4-9932-2698fb769150,9dd04da7-7410-4169-a82b-053682b30bcf,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
4e25c742-34ac-4354-be5c-9b8ad1ce54a6,86051828-0f18-48bb-965a-5a4296555d6b,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
4334763f-047e-4952-9137-c27deeaf3e8b,8e39de73-583d-4c1b-8fda-bfd6c8f85bae,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
bb239ef3-4fe1-4b6b-adbd-1987ffe05f8d,70ee7a3e-8dcb-41bc-a9f9-804ef6d5830b,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
a4a3c20c-daaa-4f16-b39e-3eef1dd4b062,05bfb829-9322-46c9-99c0-284b07df54ee,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
8f0be81f-cb98-49c4-b067-5cc85c614e09,cd2d6684-26c9-4630-9373-0b4ce28fea24,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
c3d0adc3-9a97-4fad-ae8d-e57e264b2678,eabbbd04-2fe8-4f10-9430-9f8ff21a31d8,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
30b06d2f-a3cc-4538-83da-efac5722cac9,ab578c0f-75cc-41ea-90f5-d98e37da9132,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,4ab9b6f4-1b9e-4823-bbb0-898a421fadc3,Sanket,true,yearly,,,,,,,tax return
1a32d766-d083-4138-a48c-8298325e45e6,ab578c0f-75cc-41ea-90f5-d98e37da9132,8356fec1-1b5b-45df-ab57-276899df5e6e,,4ab9b6f4-1b9e-4823-bbb0-898a421fadc3,Sanket,true,monthly,,,,,,,
cf5cab6d-b66c-459e-80b8-22b4903f441f,9a81bf34-3630-41ed-afe3-fe5ff603886e,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
f205a82e-339f-4f75-8f26-391c8a45666a,2d9c27bc-5a88-45a0-b0c0-762867d4a7ab,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
3fa83c25-0539-4835-b626-7f68945d46a4,1b11d41b-97db-429d-a53a-e8aedc9a9a49,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,60e3c2e6-a2e5-4340-8d2c-b58ce02ab04d,Sam,true,yearly,,,,,,,tax return
ecfcd9ae-5875-450d-ba12-2280f4fc4e16,1b11d41b-97db-429d-a53a-e8aedc9a9a49,8356fec1-1b5b-45df-ab57-276899df5e6e,,60e3c2e6-a2e5-4340-8d2c-b58ce02ab04d,Sam,true,yearly,,,,,,,
bd3af2c1-3c6f-44a7-b668-98063e80c600,9e3be72b-9415-4787-bcf5-19b5c5bc42c8,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,60e3c2e6-a2e5-4340-8d2c-b58ce02ab04d,Sam,true,yearly,,,,,,,tax return
